én,私
te,あなた
ő,彼
ő,彼女
ez,それ
mi,私達
ti,あなた達
ők,彼ら
mi,何
ki,誰
hol,どこ
miért,なぜ
hogyan,どのように
melyik,どれ
mikor,いつ
akkor,そして
ha,もし
igazán,本当に
de,でも
mert,だから
Szükségem van erre,これが必要です
az,あれ
minden,全て
vagy,又は
és,と
tudni,知る
Tudom,知っています
Nem tudom,知りません
gondolkodni,考える
jönni,来る
rakni,置く
vinni ,取る
találni ,見つける
hallgatni ,聞く
dolgozni ,働く
beszélni ,話す
adni ,与える (物)
kedvelni ,好む
segíteni ,助ける
szeretni ,愛する
felhívni ,電話する
várni ,待つ
Kedvellek,あなたが好きです
Ez nem tetszik,これは好きではありませ
nulla,0
egy,1
kettő,2
három,3
négy,4
öt,5
hat,6
hét,7
nyolc,8
kilenc,9
tíz,10
tizenegy,11
tizenkettő,12
tizenhárom,13
tizennégy,14
tizenöt,15
tizenhat,16
tizenhét,17
tizennyolc,18
tizenkilenc,19
húsz,20
új,新しい
régi,古い
kevés,少ない
sok,多い
mennyi?,いくら？
hány?,いくつですか？
helytelen,間違った
helyes,正しい
rossz,悪い
jó,良い
boldog,嬉しい
rövid,短い
hosszú,長い
kicsi,小さい
nagy,大きな
ott,あそこ
itt,ここ
jobb,右
bal,左
szép,美しい
fiatal,若い
öreg,年寄り
helló,こんにちは
majd még találkozunk,行って来ます
rendben,はい
vigyázz magadra,気を付けて
ne aggódj,気にしないで
persze,もちろん
szia,やあ
Jó napot,こんにちは
Jó reggelt,おはよう
Jó estét,こんばんは
Jó hétvégét,良い週末を
Hogy van?,元気ですか？
Hogy vagy?,元気？
Köszönöm Jól,ありがとう、元気です
Nem jól,いまいちです
És Ön?,あなたは？
És te?,君は？
Egészségére,お大事に
Köszönöm,ありがとう
Szívesen,どういたしまして
bocsánat,ごめんなさい
Nem baj,大丈夫！
Nem,いいえ
Igen,はい
Ninch,ありません
Elnéyést,すみません
Beszél angolul?,英語を話せますか？
Beszél japánul?,日本語を話せますか？
vagyok,私は…です
Mennyibe Kerül,いくらですか？
Ezt szeretnék,これを下さい
kártyát elfogadnak？,カードは使えますか？
Viszontlátásra,またお越しください
Nyitva,開店中
zárva,閉店中
Hétfő,月曜日
Kedd,火曜日
Szerda,水曜日
Csütörtök,木曜日
Péntek,金曜日
Szombat,土曜日
Vasárnap,日曜日
Nap,日
Hétvége,週末
harminc,30
negyven,40
ötven,50
száz,100
ezer,1000
étterem,レストラン
dohányzó,喫煙場所
nemdohányzó,禁煙場所
napimenü,日替わりメニュー
napimenü zseretnék,日替わりメニューを下さい
Jó étvágyat,めしあがれ
Egészségédre,乾杯！
Fizetni szeretnék,お会計をお願いします
Hogy ízlett？,いかがでしたか？
Finom volt,美味しかったです
Nincs meleg víz,お湯が出ません
Be van szorulva az ajtó,ドアが開きません
Ott hagytam a kulcsomat a szobában,鍵を部屋に忘れました
"Kérem, Hívjon rendőrt!",警察を呼んで下さい
telekhatáron belül ,敷地内 
fizikailag ,物理的に 
helyreállítás,復興 
bestia,猛獣 
ékesszólás,修辞 
botanika,植物学 
kézi szedés ,手摘み 
kutyakölyök,子犬
meglepetésre,めずらしく
jelképesen,概念的に 
lebegés,浮遊 
jóga,ヨガ
csörgő,鈴 
onkológus,腫瘍専門医 
elkezd,～の途につく
dohányzás,喫煙 
keresés,検索 
intuitíven,直感的に
morzsolás,脱穀 
épület bezárása ,閉館 
császárság,帝国 
látásélesség,視力
aperitif,食前酒 
